#L TT           EE           TE
150 2.521348E+02 1.153697E-01 1.602525E-01
151 3.243027E+02 1.535125E-01 3.989605E-02
152 2.971050E+02 1.051632E-01 -2.894796E-02
153 2.373035E+02 1.043711E-01 -1.994989E-02
154 2.688859E+02 1.245481E-01 1.803767E-01
155 2.298784E+02 6.433411E-02 -1.105964E-01
156 2.189649E+02 9.697981E-02 -3.828981E-01
157 2.306077E+02 1.806175E-01 -3.912117E-01
158 2.356142E+02 1.881453E-01 -5.006831E-01
159 2.365556E+02 1.117830E-01 -2.278397E-01
160 2.423089E+02 9.080243E-02 1.423636E-01
161 2.611528E+02 7.475891E-02 -3.488945E-02
162 2.229255E+02 7.507319E-02 7.049121E-02
163 2.449813E+02 9.372105E-02 4.236925E-01
164 1.921688E+02 9.764913E-02 2.751377E-02
165 1.939830E+02 7.809170E-02 -9.991533E-02
166 1.826251E+02 8.387462E-02 3.632925E-01
167 2.021659E+02 8.617919E-02 1.603805E-01
168 1.941252E+02 1.201914E-01 1.306817E-02
169 1.813684E+02 1.083217E-01 4.379386E-01
170 1.942735E+02 1.131820E-01 1.145454E-01
171 1.860229E+02 1.299613E-01 -2.209196E-02
172 2.156411E+02 1.287273E-01 3.945650E-01
173 2.613787E+02 9.936334E-02 3.818715E-01
174 2.340477E+02 1.145221E-01 3.544812E-02
175 1.805770E+02 1.374573E-01 6.614640E-02
176 1.748011E+02 1.568566E-01 1.111341E-01
177 1.679720E+02 1.359093E-01 4.659938E-01
178 1.605730E+02 1.288528E-01 -2.080057E-01
179 1.556234E+02 1.309404E-01 -5.217404E-01
180 1.614873E+02 1.474648E-01 3.177457E-01
181 1.536471E+02 1.143306E-01 9.620991E-02
182 1.794676E+02 1.153892E-01 -1.872725E-01
183 1.710826E+02 1.437190E-01 4.315795E-01
184 1.961900E+02 1.049191E-01 3.322873E-01
185 1.610935E+02 1.547453E-01 -2.202231E-02
186 1.668724E+02 1.297385E-01 2.742329E-01
187 1.501161E+02 1.354372E-01 2.178604E-01
188 2.004124E+02 1.237939E-01 1.204395E-01
189 1.384849E+02 1.682076E-01 2.340968E-01
190 1.396162E+02 1.679736E-01 -9.771008E-03
191 1.554451E+02 1.807403E-01 4.546850E-02
192 1.349222E+02 1.370439E-01 3.472821E-01
193 1.507232E+02 1.322909E-01 1.275878E-01
194 1.356731E+02 1.321283E-01 1.668976E-01
195 1.347610E+02 1.094817E-01 7.946132E-02
196 1.610451E+02 1.612712E-01 -1.204822E-01
197 1.395459E+02 1.875741E-01 -2.699007E-01
198 1.422176E+02 1.545047E-01 -4.745640E-01
199 1.403330E+02 1.410014E-01 -2.037190E-01
200 1.306691E+02 1.825303E-01 2.150958E-01
201 1.237661E+02 1.686911E-01 3.198502E-01
202 1.268921E+02 1.518859E-01 2.728119E-01
203 1.522253E+02 1.540957E-01 5.649178E-01
204 1.281491E+02 1.807114E-01 3.561683E-01
205 1.157477E+02 1.210364E-01 -4.160179E-02
206 1.112361E+02 1.388023E-01 -1.580300E-01
207 1.123756E+02 1.499637E-01 1.632177E-02
208 1.118814E+02 1.740304E-01 8.430119E-02
209 1.119267E+02 2.102648E-01 -2.090447E-02
210 1.311623E+02 1.438267E-01 -2.360444E-02
211 1.263805E+02 1.370392E-01 1.299606E-01
212 1.056454E+02 1.702532E-01 8.816538E-02
213 1.150590E+02 1.791298E-01 -4.680060E-02
214 9.995906E+01 1.521595E-01 -1.399712E-01
215 1.126147E+02 1.372155E-01 -7.207021E-03
216 8.763085E+01 1.369704E-01 2.926909E-01
217 9.351398E+01 1.685463E-01 2.715963E-01
218 8.212323E+01 1.377580E-01 1.634869E-01
219 8.005394E+01 1.550862E-01 3.570296E-01
220 7.798630E+01 1.337176E-01 1.496923E-01
221 8.205148E+01 2.048171E-01 2.191306E-02
222 8.215639E+01 1.716684E-01 1.771516E-01
223 8.925921E+01 2.148999E-01 -1.063164E-01
224 8.606411E+01 1.813663E-01 -6.549689E-02
225 7.913725E+01 1.652095E-01 3.239643E-01
226 1.245876E+02 1.648900E-01 2.183438E-01
227 8.450458E+01 1.734900E-01 1.361934E-01
228 8.473202E+01 1.692728E-01 2.500060E-01
229 6.388403E+01 1.725505E-01 -8.522408E-03
230 8.284158E+01 1.617746E-01 1.169614E-01
231 6.476905E+01 1.486275E-01 1.388742E-01
232 5.944822E+01 1.975615E-01 -7.961594E-03
233 5.761506E+01 1.831347E-01 1.972250E-01
234 5.659379E+01 2.525986E-01 1.368859E-01
235 9.220572E+01 1.935543E-01 5.147367E-02
236 9.810336E+01 2.757178E-01 1.081519E-01
237 5.561496E+01 2.380092E-01 5.908701E-02
238 5.653366E+01 1.848476E-01 1.355427E-01
239 5.626028E+01 1.924995E-01 2.150183E-01
240 8.744009E+01 2.006636E-01 2.254231E-01
241 5.162033E+01 2.143248E-01 1.705665E-01
242 4.606858E+01 1.886899E-01 1.436386E-01
243 4.554455E+01 1.758318E-01 1.319926E-01
244 4.107783E+01 1.581225E-01 1.066003E-01
245 3.917698E+01 1.179634E-01 1.988208E-01
246 4.707982E+01 1.515531E-01 3.027136E-01
247 5.268928E+01 2.032980E-01 2.215425E-01
248 4.229286E+01 1.754751E-01 7.998674E-02
249 5.913216E+01 1.928569E-01 -3.141018E-03
250 4.624980E+01 1.984011E-01 -6.822066E-02
251 3.672467E+01 2.078750E-01 -1.681755E-01
252 3.681848E+01 2.057033E-01 -2.187561E-01
253 3.856834E+01 2.068457E-01 -2.560012E-01
254 3.768465E+01 1.631628E-01 -1.738657E-01
255 3.321287E+01 2.035028E-01 1.966181E-02
256 3.542254E+01 1.622657E-01 9.085161E-02
257 3.353220E+01 1.454840E-01 6.943454E-02
258 4.223670E+01 1.753685E-01 1.636114E-01
259 4.065105E+01 1.781375E-01 8.518555E-02
260 3.364741E+01 2.619460E-01 1.468099E-02
261 3.904847E+01 2.191155E-01 7.295378E-02
262 2.857698E+01 2.031671E-01 1.465923E-01
263 2.700232E+01 1.853677E-01 1.226265E-01
264 3.137698E+01 2.604044E-01 -5.432188E-02
265 5.371187E+01 1.618433E-01 -1.229702E-01
266 6.100836E+01 2.251301E-01 -2.267307E-01
267 3.774884E+01 2.038213E-01 -3.684493E-01
268 2.517543E+01 2.214123E-01 -3.265537E-01
269 7.054674E+01 1.926651E-01 1.461280E-01
270 2.550255E+01 2.090315E-01 -1.419503E-01
271 3.997579E+01 1.801405E-01 -2.484476E-01
272 3.290085E+01 1.674449E-01 7.856517E-02
273 5.808667E+01 1.839922E-01 -1.066501E-01
274 2.076388E+01 1.964166E-01 -1.059289E-01
275 2.596948E+01 2.786717E-01 1.637736E-02
276 5.802461E+01 2.685110E-01 -6.893549E-02
277 2.943762E+01 2.411157E-01 -4.325444E-02
278 2.227699E+01 2.798672E-01 2.095722E-02
279 2.542917E+01 1.920537E-01 -1.883244E-02
280 2.404014E+01 2.651683E-01 1.007113E-01
281 2.582498E+01 1.980520E-01 8.057506E-02
282 5.405808E+01 2.714991E-01 1.405751E-01
283 2.547462E+01 2.334350E-01 1.829398E-01
284 3.287148E+01 1.905498E-01 1.300441E-01
285 2.348284E+01 2.187853E-01 1.653925E-01
286 3.145356E+01 2.261232E-01 2.698244E-01
287 2.254822E+01 2.612619E-01 2.160877E-01
288 4.465575E+01 2.746425E-01 1.425934E-01
289 3.529348E+01 1.585728E-01 1.240497E-01
290 2.321170E+01 1.866656E-01 2.905941E-01
291 2.372176E+01 2.211922E-01 2.444230E-01
292 2.782844E+01 1.643645E-01 1.145240E-01
293 3.029433E+01 1.831498E-01 1.396155E-01
294 3.815589E+01 2.777051E-01 1.453192E-01
295 2.498149E+01 2.735418E-01 8.990423E-02
296 2.921902E+01 1.973907E-01 -1.273032E-02
297 4.366125E+01 1.540424E-01 -1.207779E-02
298 2.348281E+01 2.003821E-01 8.209707E-02
299 4.004271E+01 1.681464E-01 2.602808E-01
300 2.458821E+01 1.635886E-01 2.345255E-01
301 2.696909E+01 2.002949E-01 2.131778E-01
302 3.290669E+01 1.820008E-01 1.504370E-01
303 2.462616E+01 2.163108E-01 1.530400E-01
304 3.054046E+01 3.117414E-01 2.905634E-02
305 2.317029E+01 2.580574E-01 3.150669E-02
306 2.396661E+01 2.551647E-01 1.268232E-02
307 3.033693E+01 2.138523E-01 -3.951171E-02
308 2.927465E+01 2.661171E-01 8.705872E-02
309 2.415237E+01 2.791228E-01 1.077776E-01
310 2.445532E+01 1.686474E-01 1.308711E-01
311 2.515295E+01 1.709582E-01 1.983901E-01
312 2.496943E+01 2.315791E-01 1.858082E-01
313 2.599308E+01 2.762421E-01 1.770915E-01
314 2.706422E+01 2.082752E-01 7.600475E-02
315 2.613477E+01 1.651547E-01 1.626426E-01
316 2.348751E+01 2.617417E-01 3.673210E-01
317 2.580120E+01 1.973387E-01 3.765734E-01
318 2.526102E+01 2.097046E-01 3.856499E-01
319 3.723517E+01 2.572542E-01 -4.716726E-02
320 7.422226E+01 1.670076E-01 -3.472565E-01
321 2.718155E+01 2.308714E-01 4.497164E-03
322 2.264204E+01 1.873452E-01 7.356002E-02
323 2.528269E+01 2.479006E-01 -3.286958E-02
324 2.204152E+01 3.003527E-01 1.554771E-01
325 2.433863E+01 3.615215E-01 3.754037E-02
326 3.333014E+01 3.135730E-01 -1.442273E-02
327 2.121946E+01 2.320054E-01 1.439421E-01
328 2.107363E+01 2.655992E-01 2.124297E-01
329 2.511006E+01 2.332969E-01 2.266939E-01
330 2.195550E+01 2.840523E-01 2.929406E-01
331 1.921555E+01 2.533386E-01 6.565137E-02
332 1.956785E+01 2.287335E-01 2.913432E-02
333 2.790899E+01 2.398905E-01 -1.380606E-02
334 3.357784E+01 2.352536E-01 -9.655808E-02
335 1.739256E+01 3.658755E-01 8.832417E-02
336 1.800646E+01 3.194457E-01 1.949386E-01
337 2.001239E+01 3.141553E-01 1.515630E-01
338 1.778251E+01 3.998165E-01 2.716748E-01
339 2.458477E+01 3.914044E-01 3.408021E-02
340 1.878703E+01 2.740743E-01 3.961028E-02
341 3.098501E+01 2.398185E-01 3.339414E-01
342 2.485747E+01 2.251707E-01 3.265702E-01
343 1.888797E+01 2.831516E-01 2.250127E-01
344 1.998906E+01 2.380809E-01 4.327867E-02
345 2.434973E+01 2.328394E-01 9.032817E-02
346 1.834655E+01 2.201196E-01 3.066791E-01
347 2.142596E+01 2.713085E-01 2.727395E-01
348 1.854885E+01 2.120557E-01 6.898965E-02
349 1.819765E+01 2.362713E-01 1.099933E-01
350 1.791623E+01 2.632685E-01 1.135101E-01
351 1.772510E+01 2.965602E-01 1.098677E-01
352 2.207975E+01 2.486044E-01 6.585095E-02
353 2.173888E+01 2.630347E-01 -4.000002E-02
354 1.997129E+01 2.477994E-01 -6.583890E-02
355 2.293653E+01 2.831818E-01 -2.969049E-02
356 2.638696E+01 2.820450E-01 -9.271055E-02
357 2.674977E+01 2.687094E-01 -7.289588E-02
358 2.247630E+01 3.184247E-01 -8.838131E-02
359 2.414701E+01 2.560323E-01 -3.245861E-02
360 2.297346E+01 2.524349E-01 1.553872E-02
361 2.944620E+01 2.470658E-01 -5.077235E-02
362 2.680062E+01 2.270961E-01 -1.186833E-01
363 2.634209E+01 2.062624E-01 -4.947550E-02
364 2.652541E+01 3.560006E-01 -7.276754E-02
365 2.636846E+01 2.480220E-01 -9.484469E-02
366 2.675835E+01 3.214065E-01 -8.923927E-02
367 2.730067E+01 2.592159E-01 -1.993980E-01
368 2.852047E+01 1.929769E-01 -2.633756E-01
369 3.130296E+01 2.005014E-01 -2.489925E-01
370 3.019599E+01 2.264968E-01 -3.031304E-01
371 3.139868E+01 2.523570E-01 -3.955680E-01
372 3.254057E+01 3.039488E-01 -3.177876E-01
373 3.351416E+01 2.825562E-01 -2.088839E-01
374 3.842104E+01 2.189727E-01 -5.360615E-02
375 3.213148E+01 2.817015E-01 7.544969E-02
376 3.576371E+01 2.985514E-01 2.286286E-02
377 3.384504E+01 3.261206E-01 -3.564409E-03
378 3.550151E+01 3.226404E-01 1.056890E-02
379 3.672059E+01 2.445807E-01 -1.068935E-01
380 4.920005E+01 2.813095E-01 -1.073581E-02
381 5.117546E+01 3.206463E-01 -1.046314E-02
382 3.593571E+01 2.555251E-01 -7.334290E-02
383 3.572111E+01 1.943100E-01 6.831216E-02
384 3.956850E+01 2.817859E-01 1.036287E-01
385 3.885607E+01 2.988345E-01 -1.499697E-01
386 3.866881E+01 3.456125E-01 -1.692401E-01
387 3.987059E+01 2.696319E-01 -1.814826E-01
388 3.952750E+01 2.057914E-01 -1.677086E-01
389 3.946652E+01 3.658158E-01 -7.248314E-02
