#L TT           EE           TE
130 7.381155E+01 1.828722E-02 -7.248058E-02
131 5.839102E+01 2.541869E-02 -1.404806E-01
132 9.972576E+01 1.606044E-02 7.421119E-02
133 8.125140E+01 2.075324E-02 -1.574008E-01
134 8.527043E+01 5.410047E-03 2.798639E-02
135 8.619683E+01 2.572843E-02 -1.229364E-01
136 1.405634E+02 2.756838E-02 2.941842E-01
137 1.326296E+02 9.224187E-03 -5.724861E-02
138 1.073840E+02 1.487233E-02 1.006011E-01
139 3.879739E+01 4.495448E-02 -6.272928E-02
140 1.181493E+02 1.330057E-02 -5.892164E-02
141 1.719563E+02 1.278859E-02 1.113511E-01
142 3.946672E+01 1.028379E-02 -8.310938E-03
143 8.120064E+01 1.861493E-02 2.982854E-02
144 3.388269E+02 1.820130E-02 3.818996E-01
145 1.033021E+02 1.257831E-02 -1.160383E-01
146 1.128400E+02 1.596704E-02 -1.587116E-01
147 7.599870E+01 2.664707E-02 -2.782210E-01
148 7.371073E+01 1.797052E-02 8.120177E-02
149 1.895657E+02 1.363348E-02 -2.773906E-01
150 1.092151E+02 1.865195E-02 3.425545E-02
151 1.209480E+02 1.132212E-02 -7.475377E-02
152 8.682143E+01 1.947629E-02 6.007410E-02
153 1.048430E+02 1.109990E-02 -8.038855E-04
154 1.025569E+02 1.137432E-02 -2.062178E-03
155 1.053109E+02 1.176626E-02 -9.385515E-03
156 3.011134E+02 3.346405E-02 -2.119005E-01
157 1.068146E+02 1.270815E-02 -4.180619E-03
158 1.059592E+02 1.257271E-02 1.264192E-01
159 8.985835E+01 6.268016E-03 -7.958754E-02
160 2.646209E+02 5.150238E-03 -1.123724E-01
161 2.909404E+01 1.010169E-02 1.726815E-02
162 1.291284E+02 7.341417E-03 -9.100937E-02
163 2.056299E+02 2.998293E-02 1.721559E-01
164 3.799599E+02 9.881671E-03 -1.566218E-01
165 1.786844E+02 9.604481E-03 9.841525E-03
166 9.674553E+01 1.023266E-02 -4.274059E-02
167 4.947559E+01 2.840211E-03 -9.075885E-03
168 4.701853E+01 1.193846E-02 6.043939E-02
169 1.068747E+02 2.692882E-03 -2.081068E-02
170 2.506063E+01 5.227215E-03 3.427227E-02
171 1.626838E+02 7.817693E-03 6.346467E-02
172 6.911236E+01 9.926736E-03 4.403605E-02
173 1.782247E+02 1.600846E-02 -2.676692E-02
174 5.836188E+01 1.394166E-02 -6.268025E-02
175 1.154858E+02 8.324241E-03 -1.393397E-02
176 6.830176E+01 9.599059E-03 -2.075000E-02
177 1.010207E+02 5.371997E-03 -2.235940E-02
178 8.306487E+01 1.243542E-02 7.883389E-02
179 1.112948E+02 9.072537E-03 -1.064116E-01
180 6.380402E+01 4.402521E-03 4.111619E-02
181 5.016093E+01 4.296634E-03 -1.908695E-03
182 7.916370E+01 7.264366E-03 2.006893E-02
183 2.102831E+02 2.015470E-03 -6.369897E-02
184 9.347590E+01 5.919939E-03 -5.254290E-02
185 4.876152E+01 1.016579E-02 -5.180038E-02
186 1.081718E+02 1.322081E-02 6.511304E-02
187 1.010017E+02 3.701776E-03 2.935521E-02
188 2.019817E+02 2.196115E-02 4.436510E-03
189 1.183217E+02 6.366547E-03 -7.871336E-02
190 1.277083E+02 5.612449E-03 1.266794E-01
191 6.104184E+01 4.358918E-03 -8.796970E-02
192 6.782792E+01 9.899517E-03 1.439501E-01
193 2.357184E+02 7.650797E-03 -2.422783E-03
194 1.127676E+02 3.903299E-03 -4.883689E-03
195 6.773020E+01 1.503742E-02 -3.382387E-02
196 4.361660E+01 5.484617E-03 -5.345706E-03
197 8.317538E+01 1.991380E-02 -8.248806E-02
198 2.176562E+02 1.948874E-02 -1.576786E-01
199 1.519127E+02 5.280317E-03 2.263918E-03
200 8.379612E+01 1.171118E-02 -1.078431E-01
201 1.092521E+02 7.430331E-03 -1.344905E-01
202 2.421462E+02 2.032115E-03 1.746937E-02
203 2.106693E+02 9.868343E-03 1.273298E-01
204 1.472328E+02 6.782166E-03 -9.379773E-03
205 4.117260E+01 2.059060E-02 1.033922E-02
206 5.514077E+01 4.415723E-03 2.989620E-02
207 1.255458E+02 1.247607E-02 4.364433E-02
208 1.212121E+02 7.799086E-03 -4.017541E-02
209 7.091489E+01 1.547227E-02 2.143181E-02
210 1.389368E+02 8.385137E-03 1.565013E-02
211 7.138241E+01 4.850947E-03 2.157733E-02
212 1.739263E+02 2.547856E-02 -1.550980E-01
213 6.618281E+01 1.092358E-02 -3.873417E-02
214 1.332241E+02 1.167459E-02 2.607544E-02
215 6.665287E+01 1.113401E-02 -3.846171E-02
216 2.613938E+01 1.004629E-02 -5.899057E-02
